ID Organoide Form,ID Organoide Placa,Classification,Votos Acceptable,Votos Not Acceptable,Consenso especialistas,Excluido porque
Organoid_323,Ba4 96_1 Dy30 A2,Not Acceptable,0,5,Bad,
Organoid_324,Ba4 96_1 Dy30 A3,,2,3,Uncertain-Bad,Uncertain-Bad
Organoid_325,Ba4 96_1 Dy30 A4 INV,Not Acceptable,0,5,Bad,
Organoid_326,Ba4 96_1 Dy30 A4,Not Acceptable,0,5,Bad,
Organoid_327,Ba4 96_1 Dy30 A5,Not Acceptable,0,5,Bad,
Organoid_328,Ba4 96_1 Dy30 A6,,2,3,Uncertain-Bad,Uncertain-Bad
Organoid_329,Ba4 96_1 Dy30 A7,Not Acceptable,1,4,Bad,
Organoid_330,Ba4 96_1 Dy30 A8,Not Acceptable,1,4,Bad,
Organoid_331,Ba4 96_1 Dy30 A9,,3,2,Uncertain-Good,Uncertain-Good
Organoid_332,Ba4 96_1 Dy30 B1,Not Acceptable,1,4,Bad,
Organoid_333,Ba4 96_1 Dy30 B10,Not Acceptable,0,5,Bad,
Organoid_334,Ba4 96_1 Dy30 B11,Not Acceptable,1,4,Bad,
Organoid_335,Ba4 96_1 Dy30 B12,,2,3,Uncertain-Bad,Uncertain-Bad
Organoid_336,Ba4 96_1 Dy30 B2,Not Acceptable,1,4,Bad,
Organoid_337,Ba4 96_1 Dy30 B3,Acceptable,4,1,Good,
Organoid_338,Ba4 96_1 Dy30 B4,Not Acceptable,1,4,Bad,
Organoid_339,Ba4 96_1 Dy30 B5,Not Acceptable,1,4,Bad,
Organoid_340,Ba4 96_1 Dy30 B6,,3,2,Uncertain-Good,Uncertain-Good
Organoid_341,Ba4 96_1 Dy30 B7,Acceptable,4,1,Good,
Organoid_342,Ba4 96_1 Dy30 B8,Not Acceptable,1,4,Bad,
Organoid_343,Ba4 96_1 Dy30 B9,Acceptable,4,1,Good,
Organoid_344,Ba4 96_1 Dy30 C1,Not Acceptable,1,4,Bad,
Organoid_345,Ba4 96_1 Dy30 C10,,3,2,Uncertain-Good,Uncertain-Good
Organoid_346,Ba4 96_1 Dy30 C11,Not Acceptable,1,4,Bad,
Organoid_347,Ba4 96_1 Dy30 C12(1)%,,3,2,Uncertain-Good,Uncertain-Good
Organoid_348,Ba4 96_1 Dy30 C12(2)%,,3,2,Uncertain-Good,Uncertain-Good
Organoid_349,Ba4 96_1 Dy30 C2,Acceptable,5,0,Good,
Organoid_350,Ba4 96_1 Dy30 C3,Acceptable,4,1,Good,
Organoid_351,Ba4 96_1 Dy30 C4,Acceptable,5,0,Good,
Organoid_352,Ba4 96_1 Dy30 C5,,2,3,Uncertain-Bad,Uncertain-Bad
Organoid_353,Ba4 96_1 Dy30 C6,Not Acceptable,0,5,Bad,
Organoid_354,Ba4 96_1 Dy30 C7,Not Acceptable,0,5,Bad,
Organoid_355,Ba4 96_1 Dy30 C8,Not Acceptable,0,5,Bad,
Organoid_356,Ba4 96_1 Dy30 C9,Acceptable,5,0,Good,
Organoid_357,Ba4 96_1 Dy30 D1,,2,3,Uncertain-Bad,Uncertain-Bad
Organoid_358,Ba4 96_1 Dy30 D10,Acceptable,4,1,Good,
Organoid_359,Ba4 96_1 Dy30 D11,,2,3,Uncertain-Bad,Uncertain-Bad
Organoid_360,Ba4 96_1 Dy30 D12,Acceptable,5,0,Good,
Organoid_361,Ba4 96_1 Dy30 D2 INV,Not Acceptable,1,4,Bad,
Organoid_362,Ba4 96_1 Dy30 D2,Not Acceptable,1,4,Bad,
Organoid_363,Ba4 96_1 Dy30 D3,Acceptable,4,1,Good,
Organoid_364,Ba4 96_1 Dy30 D4,Acceptable,5,0,Good,
Organoid_365,Ba4 96_1 Dy30 D5,Acceptable,4,1,Good,
Organoid_366,Ba4 96_1 Dy30 D6,Not Acceptable,0,5,Bad,
Organoid_367,Ba4 96_1 Dy30 D7(stitched),,3,2,Uncertain-Good,Uncertain-Good
Organoid_368,Ba4 96_1 Dy30 D8,Not Acceptable,0,5,Bad,
Organoid_369,Ba4 96_1 Dy30 D9,Acceptable,4,1,Good,
Organoid_370,Ba4 96_1 Dy30 E1,Not Acceptable,1,4,Bad,
Organoid_371,Ba4 96_1 Dy30 E10,,2,3,Uncertain-Bad,Uncertain-Bad
Organoid_372,Ba4 96_1 Dy30 E11,,3,2,Uncertain-Good,Uncertain-Good
Organoid_373,Ba4 96_1 Dy30 E12,Acceptable,4,1,Good,
Organoid_374,Ba4 96_1 Dy30 E2,Not Acceptable,1,4,Bad,
Organoid_375,Ba4 96_1 Dy30 E3 INV,Not Acceptable,1,4,Bad,
Organoid_376,Ba4 96_1 Dy30 E3,Not Acceptable,1,4,Bad,
Organoid_377,Ba4 96_1 Dy30 E4,Not Acceptable,0,5,Bad,
Organoid_378,Ba4 96_1 Dy30 E5,Not Acceptable,0,5,Bad,
Organoid_379,Ba4 96_1 Dy30 E6,Not Acceptable,0,5,Bad,
Organoid_380,Ba4 96_1 Dy30 E7,Not Acceptable,1,4,Bad,
Organoid_381,Ba4 96_1 Dy30 E8,Not Acceptable,1,4,Bad,
Organoid_382,Ba4 96_1 Dy30 E9,Acceptable,4,1,Good,
Organoid_383,Ba4 96_1 Dy30 F1,Acceptable,5,0,Good,
Organoid_384,Ba4 96_1 Dy30 F10(stitched),Acceptable,4,1,Good,
Organoid_385,Ba4 96_1 Dy30 F11,Not Acceptable,1,4,Bad,
Organoid_386,Ba4 96_1 Dy30 F12,Acceptable,5,0,Good,
Organoid_387,Ba4 96_1 Dy30 F2,Acceptable,4,1,Good,
Organoid_388,Ba4 96_1 Dy30 F3,Not Acceptable,1,4,Bad,
Organoid_389,Ba4 96_1 Dy30 F4,Not Acceptable,0,5,Bad,
Organoid_390,Ba4 96_1 Dy30 F5 INV,Not Acceptable,0,5,Bad,
Organoid_391,Ba4 96_1 Dy30 F5,Not Acceptable,0,5,Bad,
Organoid_392,Ba4 96_1 Dy30 F6 INV,Not Acceptable,1,4,Bad,
Organoid_393,Ba4 96_1 Dy30 F6,Not Acceptable,1,4,Bad,
Organoid_394,Ba4 96_1 Dy30 F7,Acceptable,5,0,Good,
Organoid_395,Ba4 96_1 Dy30 F8,,2,3,Uncertain-Bad,Uncertain-Bad
Organoid_396,Ba4 96_1 Dy30 F9,Not Acceptable,1,4,Bad,
Organoid_397,Ba4 96_1 Dy30 G1,,2,3,Uncertain-Bad,Uncertain-Bad
Organoid_398,Ba4 96_1 Dy30 G10,,3,2,Uncertain-Good,Uncertain-Good
Organoid_399,Ba4 96_1 Dy30 G11,Not Acceptable,1,4,Bad,
Organoid_400,Ba4 96_1 Dy30 G12,,3,2,Uncertain-Good,Uncertain-Good
Organoid_401,Ba4 96_1 Dy30 G2,Not Acceptable,1,4,Bad,
Organoid_402,Ba4 96_1 Dy30 G3 INV,Not Acceptable,1,4,Bad,
Organoid_403,Ba4 96_1 Dy30 G3,Not Acceptable,1,4,Bad,
Organoid_404,Ba4 96_1 Dy30 G4,,3,2,Uncertain-Good,Uncertain-Good
Organoid_405,Ba4 96_1 Dy30 G5,Acceptable,4,1,Good,
Organoid_406,Ba4 96_1 Dy30 G6,Not Acceptable,0,5,Bad,
Organoid_407,Ba4 96_1 Dy30 G7,Acceptable,5,0,Good,
Organoid_408,Ba4 96_1 Dy30 G8,Acceptable,4,1,Good,
Organoid_409,Ba4 96_1 Dy30 G9,,2,3,Uncertain-Bad,Uncertain-Bad
Organoid_410,Ba4 96_1 Dy30 H1,Not Acceptable,0,5,Bad,
Organoid_411,Ba4 96_1 Dy30 H10,Acceptable,5,0,Good,
Organoid_412,Ba4 96_1 Dy30 H11,Not Acceptable,1,4,Bad,
Organoid_413,Ba4 96_1 Dy30 H12,Acceptable,5,0,Good,
Organoid_414,Ba4 96_1 Dy30 H2,Acceptable,4,1,Good,
Organoid_415,Ba4 96_1 Dy30 H3,,2,3,Uncertain-Bad,Uncertain-Bad
Organoid_416,Ba4 96_1 Dy30 H4,Not Acceptable,0,5,Bad,
Organoid_417,Ba4 96_1 Dy30 H5,Not Acceptable,0,5,Bad,
Organoid_418,Ba4 96_1 Dy30 H6,Acceptable,5,0,Good,
Organoid_419,Ba4 96_1 Dy30 H7,Not Acceptable,1,4,Bad,
Organoid_420,Ba4 96_1 Dy30 H8,Not Acceptable,1,4,Bad,
Organoid_421,Ba4 96_1 Dy30 H9(stitched),Acceptable,5,0,Good,
